222.186.61.241 - - [03/Nov/2014:03:25:58 +0800] "GET http://dm.qq.com/ HTTP/1.1" 200 4794 "-" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)" "-""0.001"
222.186.61.235 - - [03/Nov/2014:03:34:42 +0800] "GET http://dm.qq.com/ HTTP/1.1" 200 4794 "-" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)" "-""0.001"
222.186.61.227 - - [03/Nov/2014:03:53:51 +0800] "GET http://dm.qq.com/ HTTP/1.1" 200 4794 "-" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)" "-""0.001"
116.226.69.197 - - [03/Nov/2014:03:59:04 +0800] "POST /ktvlog HTTP/1.1" 200 21 "-" "-" "-""1.206"
116.226.69.197 - - [03/Nov/2014:03:59:17 +0800] "POST /ktvlog HTTP/1.1" 200 21 "-" "-" "-""1.117"
60.173.11.194 - - [03/Nov/2014:04:11:18 +0800] "GET http://check.ptlogin2.qq.com/check?uin=3575502&appid=5&ptlang=2052&r=0. HTTP/1.1" 404 564 "http://ui.ptlogin2.qq.com/cgi-bin/login?style=8&appid=5&s_url=http%3A%2F%2Fwap.aq.qq.com%2F" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Win64; x64; Trident/5.0)" "-""0.000"
60.173.11.194 - - [03/Nov/2014:04:42:00 +0800] "GET http://check.ptlogin2.qq.com/check?uin=888666111&appid=5&ptlang=2052&r=0. HTTP/1.1" 404 564 "http://ui.ptlogin2.qq.com/cgi-bin/login?style=8&appid=5&s_url=http%3A%2F%2Fwap.aq.qq.com%2F" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Win64; x64; Trident/5.0)" "-""0.000"
222.186.61.229 - - [03/Nov/2014:04:43:59 +0800] "GET http://dm.qq.com/ HTTP/1.1" 200 4794 "-" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)" "-""0.000"
222.186.61.244 - - [03/Nov/2014:04:45:50 +0800] "GET http://dm.qq.com/ HTTP/1.1" 200 4794 "-" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)" "-""0.000"
222.186.12.105 - - [03/Nov/2014:05:02:55 +0800] "GET http://dm.qq.com/ HTTP/1.1" 200 4794 "-" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)" "-""0.001"
123.125.1.138 - - [03/Nov/2014:05:10:23 +0800] "POST /login/sina HTTP/1.1" 200 28 "-" "Apache-HttpClient/UNAVAILABLE (java 1.4)" "-""0.016"
123.125.1.138 - - [03/Nov/2014:05:14:20 +0800] "GET /systeminfo?android=1&nonce=0724&signature=e85ad6bf73d1bcf1a957301affa2560d45f35304&timestamp=1414962778 HTTP/1.1" 200 175 "-" "yiqichang/a1.3.2 (Android; 4.2.2; R829T_11_140809)" "-""0.015"
222.186.13.115 - - [03/Nov/2014:05:21:56 +0800] "GET http://dm.qq.com/ HTTP/1.1" 200 4794 "-" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)" "-""0.000"
